"","sp","slopeLong","slopeShort","Nbegin","Nmed","Nend","NbeginS","NmedS","NendS","NbeginA","NmedA","NendA","sphen_begin","sphen_med","sphen_end","aphen_begin","aphen_med","aphen_end","Ntotal"
"199","MOTALB",-6,-28,4175.11786072115,5462.27878787879,3920.16666666667,838.80122978157,969.727272727273,767.595238095238,2967.21372926609,4117.15454545455,2826.83333333333,115,111,110,256,254,256,165558
"200","BOMGAR",63,-40,7748.49152783491,21138.1655844156,12652.1380952381,119.423851067233,1145.40909090909,106.666666666667,6270.7775974026,17486.7272727273,11893.119047619,83,66,71,304,292,301,431691
"201","CINCIN",-82,-53,3.13953634085213,1.21818181818182,0.571428571428571,0,0,0,1.2062030075188,0.636363636363636,0.571428571428571,NA,NA,NA,NA,NA,NA,41
"202","TROTRO",17,-8,205.535709276963,261.375360750361,240.571428571429,31.4663699303792,32.8454545454545,37.0238095238095,172.806349150505,223.727272727273,203.095238095238,111,105,103,280,279,278,10028
"203","PRUMOD",34,23,846.996714108904,927.413131313131,1136.52380952381,198.360646736305,175.472727272727,156.261904761905,645.615654207334,741.390909090909,967.833333333333,113,111,113,263,264,261,35453
"204","PRUMON",Inf,1000,0,0.0909090909090909,1,0,0,0.142857142857143,0,0.0909090909090909,0.857142857142857,NA,NA,NA,NA,NA,NA,8
"205","PRUATR",NA,-100,0,0.0909090909090909,0,0,0,0,0,0.0909090909090909,0,NA,NA,NA,NA,NA,NA,1
"206","ERIRUB",-1,13,1419.75363989296,1245.91821789322,1405.98571428571,577.690846962635,424.9,523.714285714286,814.989073186016,795.763636363636,868.642857142857,114,112,112,272,271,269,56919
"207","LUSLUS",65,-21,170.616951362191,356.509090909091,282.190476190476,79.3483758888171,158.963636363636,156.714285714286,26.7947659495647,75.9545454545455,49,150,149,147,209,209,211,7916
"208","LUSMEG",-100,NA,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0,NA,NA,NA,NA,NA,NA,7
"209","LUSSVE",-66,-40,21.6860241667517,12.2727272727273,7.33333333333333,18.8786306830424,9.72727272727273,6.47619047619048,2.80739348370927,2.54545454545455,0.857142857142857,136,136,136,NA,NA,NA,850
"210","TARCYA",Inf,Inf,0,0,0.285714285714286,0,0,0,0,0,0.285714285714286,NA,NA,NA,NA,NA,NA,2
"211","PHOOCH",139,-19,0.955648926237161,2.81818181818182,2.28571428571429,0.858029878618114,1.90909090909091,1.71428571428571,0.0976190476190476,0.909090909090909,0.428571428571429,NA,NA,NA,NA,NA,NA,98
