FIN_name,SWE_name,ENG_name,Sci_name,Species_Abb,Species_code,Sp,Add,Night,Trend,SpB,SpE,AuB,AuE,P,M,Species_Abb_old,Expected,,
riskilä,tobisgrissla,Black Guillemot,Cepphus grylle,CEPGRY,405,1,0,0,2,60,151,182,59,0,1,CEPGRY,,,
ruokki,tordmule,Razorbill,Alca torda,ALCTOR,406,1,0,0,2,47,151,182,365,1,1,ALCTOR,,,
pikkuruokki,alkekung,Little Auk,Alle alle,ALLALL,407,1,0,0,2,47,181,182,365,1,1,ALLALL,,,
etelänkiisla,sillgrissla,Common Murre,Uria aalge,URIAAL,408,1,0,0,2,47,181,182,365,1,1,URIAAL,,,
pikkutiira,småtärna,Little Tern,Sternula albifrons,STEALB,411,1,0,0,2,47,181,182,365,1,1,STEALB,,,
räyskä,skräntärna,Caspian Tern,Hydroprogne caspia,HYDCAS,413,1,0,0,2,47,151,182,365,1,1,STECAS,x,,
mustatiira,svarttärna,Black Tern,Chlidonias niger,CHLNIG,415,1,0,0,2,47,166,182,365,1,1,CHLNIG,,,
riuttatiira,kentsk tärna,Sandwich Tern,Sterna sandvicensis,STESAN,418,1,0,0,2,47,151,182,365,1,1,STESAN,x,,
kalatiira,fisktärna,Common Tern,Sterna hirundo,STEHIR,420,1,0,0,2,47,151,182,365,0,1,STEHIR,x,,
lapintiira,silvertärna,Arctic Tern,Sterna paradisaea,STEAEA,421,1,0,0,2,47,151,182,365,0,1,STEAEA,x,,
pikkulokki,dvärgmås,Little Gull,Hydrocoloeus minutus,HYDMIN,425,1,0,0,2,60,151,182,365,1,1,LARMIN,,,
pikkukajava,tretåig mås,Black-legged Kittiwake,Rissa tridactyla,RISTRI,429,1,0,0,2,47,166,182,365,1,1,RISTRI,,,
naurulokki,skrattmås,Black-headed Gull,Larus ridibundus,LARRID,432,1,0,0,2,60,160,161,59,0,1,LARRID,x,,
kalalokki,fiskmås,Mew Gull,Larus canus,LARCAN,438,1,0,0,2,60,151,182,59,0,1,LARCAN,x,,
selkälokki,silltrut,Lesser Black-backed Gull,Larus fuscus,LARFUS,441,1,0,0,2,47,151,182,365,0,1,LARFUS,,,
harmaalokki,gråtrut,European Herring Gull,Larus argentatus,LARARG,449,1,0,0,2,47,151,182,46,0,1,LARARG,x,L,
